(1373)Cincinnati
0.001186 10000 100 100
3.4009 0.322363 0.680987 1.70815 5.18644 
3.4007 0.322331 0.680989 1.70824 5.18645 
3.40052 0.322301 0.680991 1.70832 5.18645 
3.40038 0.322277 0.680991 1.70838 5.18645 
3.40031 0.322264 0.680991 1.70844 5.18645 
3.40033 0.322268 0.680991 1.70851 5.18645 
3.40048 0.322293 0.680991 1.7086 5.18645 
3.40076 0.32234 0.68099 1.70873 5.18646 
3.40119 0.322411 0.680986 1.70892 5.18646 
3.40177 0.322504 0.680975 1.70917 5.18647 
3.40247 0.322613 0.680951 1.7095 5.18648 
3.40322 0.322731 0.680908 1.70987 5.18649 
3.40394 0.322852 0.68084 1.71024 5.18648 
3.40453 0.322967 0.680743 1.71057 5.18645 
3.40494 0.323072 0.680622 1.71081 5.18638 
3.40513 0.323166 0.680487 1.71095 5.18628 
3.40513 0.323247 0.680349 1.71099 5.18614 
3.405 0.32332 0.680217 1.71097 5.18598 
3.40478 0.323385 0.680098 1.71091 5.1858 
3.40453 0.323443 0.679995 1.71083 5.18562 
3.40426 0.323496 0.679907 1.71074 5.18543 
3.40399 0.323545 0.679835 1.71066 5.18525 
3.40374 0.32359 0.679776 1.71057 5.18507 
3.40351 0.323631 0.679729 1.7105 5.18489 
3.4033 0.32367 0.679692 1.71043 5.18473 
3.40311 0.323707 0.679665 1.71036 5.18457 
3.40294 0.323743 0.679645 1.71031 5.18441 
3.40278 0.323778 0.679633 1.71026 5.18426 
3.40265 0.323812 0.679627 1.71021 5.18411 
3.40253 0.323847 0.679627 1.71018 5.18397 
3.40242 0.323882 0.679633 1.71014 5.18383 
3.40233 0.323917 0.679645 1.71012 5.18369 
3.40225 0.323954 0.679662 1.7101 5.18355 
3.40217 0.323993 0.679685 1.7101 5.18341 
3.40211 0.324033 0.679715 1.7101 5.18327 
3.40204 0.324075 0.679751 1.71012 5.18313 
3.40198 0.32412 0.679795 1.71015 5.18299 
3.40192 0.324166 0.679847 1.7102 5.18284 
3.40186 0.324216 0.679907 1.71028 5.1827 
3.40178 0.324267 0.679977 1.71038 5.18256 
3.40169 0.32432 0.680056 1.71051 5.18242 
3.40157 0.324374 0.680144 1.71068 5.18229 
3.40141 0.324428 0.680239 1.71089 5.18217 
3.40121 0.32448 0.680341 1.71114 5.18206 
3.40095 0.324528 0.680444 1.71144 5.18197 
3.40063 0.324567 0.680546 1.71179 5.1819 
3.40025 0.324597 0.68064 1.71217 5.18186 
3.39983 0.324614 0.680721 1.71258 5.18183 
3.39937 0.324617 0.680787 1.71298 5.18182 
3.39891 0.324608 0.680837 1.71337 5.18182 
3.39849 0.324591 0.68087 1.71371 5.18183 
3.39813 0.32457 0.680891 1.71399 5.18185 
3.39785 0.324549 0.680902 1.71421 5.18185 
3.39766 0.324535 0.680907 1.71436 5.18186 
3.39757 0.324531 0.680908 1.71447 5.18186 
3.39757 0.324538 0.680909 1.71453 5.18186 
3.39765 0.324558 0.680908 1.71458 5.18186 
3.3978 0.324588 0.680908 1.71461 5.18186 
3.39799 0.324625 0.680909 1.71464 5.18186 
3.3982 0.324667 0.680908 1.71467 5.18186 
3.39842 0.324709 0.680908 1.71472 5.18186 
3.39864 0.32475 0.680906 1.71477 5.18187 
3.39883 0.324788 0.680902 1.71482 5.18187 
3.399 0.324823 0.680897 1.71487 5.18187 
3.39915 0.324855 0.680889 1.71492 5.18187 
3.39928 0.324885 0.68088 1.71496 5.18187 
3.39939 0.324913 0.680869 1.71501 5.18187 
3.39948 0.32494 0.680856 1.71505 5.18186 
3.39955 0.324967 0.680842 1.71509 5.18185 
3.3996 0.324992 0.680826 1.71513 5.18183 
3.39965 0.325018 0.68081 1.71518 5.18181 
3.39968 0.325043 0.680793 1.71523 5.18178 
3.39971 0.325067 0.680776 1.71529 5.18175 
3.39973 0.325091 0.68076 1.71535 5.18172 
3.39974 0.325113 0.680745 1.71542 5.18168 
3.39976 0.325134 0.68073 1.7155 5.18163 
