Jupiter
0.001186 10000 100 100
5.20204 0.0466602 0.0228 4.79895 1.7523 
5.20202 0.0466297 0.0228 4.79796 1.7523 
5.20201 0.0466021 0.0228 4.79693 1.7523 
5.202 0.0465773 0.0228 4.79587 1.7523 
5.20199 0.0465556 0.0228 4.79478 1.7523 
5.20198 0.046537 0.0228 4.79367 1.7523 
5.20197 0.0465214 0.0228 4.79254 1.7523 
5.20196 0.046509 0.0228 4.79139 1.7523 
5.20196 0.0464997 0.0228 4.79023 1.7523 
5.20196 0.0464936 0.0228 4.78906 1.7523 
5.20196 0.0464907 0.0228 4.78788 1.7523 
5.20196 0.046491 0.0228 4.78671 1.7523 
5.20196 0.0464945 0.0228 4.78553 1.7523 
5.20196 0.0465011 0.0228 4.78436 1.7523 
5.20197 0.046511 0.0228 4.78321 1.7523 
5.20197 0.046524 0.0228 4.78206 1.7523 
5.20198 0.0465401 0.0228 4.78093 1.7523 
5.20199 0.0465593 0.0228 4.77982 1.7523 
5.202 0.0465815 0.0228 4.77874 1.7523 
5.20201 0.0466068 0.0228 4.77769 1.7523 
5.20203 0.046635 0.0228 4.77666 1.7523 
5.20204 0.046666 0.0228 4.77567 1.7523 
5.20206 0.0466998 0.0228 4.77472 1.7523 
5.20207 0.0467364 0.0228 4.77382 1.7523 
5.20209 0.0467755 0.0228 4.77295 1.7523 
5.20211 0.0468172 0.0228 4.77214 1.7523 
5.20214 0.0468612 0.0228 4.77138 1.7523 
5.20216 0.0469076 0.0228 4.77067 1.7523 
5.20218 0.046956 0.0228 4.77003 1.7523 
5.20221 0.0470065 0.0228 4.76944 1.7523 
5.20223 0.0470588 0.0228 4.76892 1.7523 
5.20226 0.0471129 0.0228 4.76847 1.7523 
5.20229 0.0471684 0.0228 4.76808 1.7523 
5.20231 0.0472253 0.0228 4.76777 1.7523 
5.20234 0.0472833 0.0228 4.76753 1.7523 
5.20237 0.0473422 0.0228 4.76737 1.7523 
5.2024 0.0474018 0.0228 4.76729 1.7523 
5.20243 0.0474619 0.0228 4.76728 1.7523 
5.20246 0.0475223 0.0228 4.76736 1.7523 
5.20249 0.0475827 0.0228 4.76751 1.7523 
5.20252 0.0476429 0.0228 4.76775 1.7523 
5.20255 0.0477026 0.0228 4.76807 1.7523 
5.20258 0.0477615 0.0228 4.76847 1.7523 
